Fecha Transacci�n;Fecha Liquidaci�n;Boleto;Mercado;Tipo Transacci�n;Numero de Cuenta;Descripci�n;Especie;Simbolo;Cantidad;Moneda;Precio Ponderado;Monto;Comisi�n y Derecho de Mercado;Iva Impuesto;Total
4.602.853.347;46029;3143;NYSE;Compra;332025;iShares Barclays 7-10 Year Treasury Bond Fund;;IEF;1,0000;US$;96,18;96,18;$2,00;$0,42;96,18
4.605.950.346;46062;29964;NYSE;Compra;332025;Nike;;NKE;1,0000;US$;63,85;63,85;$2,00;$0,42;63,85
46.059.505;46062;29978;NYSE;Compra;332025;Grupo Supervielle S.A.;;SUPV;9,0000;US$;10,55;94,95;$2,00;$0,42;94,95
4.605.952.448;46062;30070;NYSE;Venta;332025;Grupo Supervielle S.A.;;SUPV;20,0000;US$;10,68;213,64;$2,00;$0,42;213,64
4.605.952.713;46062;30085;NYSE;Venta;332025;Nike;;NKE;3,0000;US$;63,61;190,83;$2,00;$0,42;190,83
4.605.952.994;46062;30101;NASDAQ;Compra;332025;Vanguard Intermediate-Termorate Bond ETF;;VCIT;2,0000;US$;83,77;167,53;$2,00;$0,42;167,53
460.595.303;46062;30104;NASDAQ;Compra;332025;Vanguard Intermediate-Termorate Bond ETF;;VCIT;2,0000;US$;83,77;167,54;$2,00;$0,42;167,54
4.605.953.271;46062;30118;NYSE;Venta;332025;Nike;;NKE;5,0000;US$;63,75;318,76;$2,00;$0,42;318,76
4.605.953.388;46062;30126;NYSE;Compra;332025;Vanguard S&P 500 Growth Index Fund ETF;;VOOG;1,0000;US$;433,42;433,42;$2,00;$0,42;433,42
4.607.764.615;46078;40194;NYSE;Compra;332025;Vanguard Dividend Appreciation ETF;;VIG;1,0000;US$;226,65;226,65;$2,00;$0,42;226,65
4.608.550.331;46086;46366;NYSE;Compra;332025;Salesforce.com;;CRM;1,0000;US$;195,28;195,28;$2,00;$0,42;195,28
45.888.581;45889;51412;NYSE;Compra;332025;WisdomTree International Industrial Sector Fund;;DDI;8,0000;US$;9,60;76,80;$2,00;$0,42;76,80
4.589.649.417;45897;56151;NYSE;Compra;332025;Hims & Hers Health;;HIMS;4,0000;US$;44,93;179,72;$2,00;$0,42;179,72
4.590.246.605;45903;58740;NYSE;Compra;332025;iShares 0-3 Month Treasury Bond ETF;;SGOV;1,0000;US$;100,39;100,39;$2,00;$0,42;100,39
4.591.263.824;45915;66984;NYSE;Venta;332025;Hims & Hers Health;;HIMS;4,0000;US$;54,07;216,28;$2,00;$0,42;216,28
4.591.854.642;45919;71168;NYSE;Compra;332025;WisdomTree International Industrial Sector Fund;;DDI;7,0000;US$;9,40;65,80;$2,00;$0,42;65,80
459.246.189;45925;76665;NYSE;Compra;332025;iShares Edge MSCI USA Quality Factor ETF;;QUAL;1,0000;US$;192,09;192,09;$2,00;$0,42;192,09
4.592.463.759;45925;76736;NYSE;Compra;332025;iShares Barclays 7-10 Year Treasury Bond Fund;;IEF;1,0000;US$;96,51;96,51;$2,00;$0,42;96,51
4.592.648.611;45929;78319;NYSE;Compra;332025;Grupo Supervielle S.A.;;SUPV;8,0000;US$;5,81;46,47;$2,00;$0,42;46,47
4.613.552.558;46136;79721;NYSE;Venta;332025;Grupo Supervielle S.A.;;SUPV;16,0000;US$;9,36;149,76;$2,00;$0,42;149,76
4.613.553.141;46136;79747;NYSE;Compra;332025;iShares 0-3 Month Treasury Bond ETF;;SGOV;2,0000;US$;100,61;201,22;$2,00;$0,42;201,22
4.593.348.468;45936;84043;NYSE;Compra;332025;Grupo Supervielle S.A.;;SUPV;19,0000;US$;5,08;96,52;$2,00;$0,42;96,52
4.593.352.648;45936;84253;NYSE;Compra;332025;Vanguard Dividend Appreciation ETF;;VIG;1,0000;US$;218,46;218,46;$2,00;$0,42;218,46
4.593.354.154;45936;84293;NYSE;Compra;332025;Vanguard Dividend Appreciation ETF;;VIG;1,0000;US$;218,79;218,79;$2,00;$0,42;218,79
4.593.359.267;45936;84487;NYSE;Compra;332025;iShares Barclays 7-10 Year Treasury Bond Fund;;IEF;1,0000;US$;96,48;96,48;$2,00;$0,42;96,48
